// input file 3

M 5
T_d 3
T_w 3
T_b 3
T_in 1
T_out 1

Company1 balance $300,000,000
Company2 balance $40,000,000
Company3 balance $300,000,000
Company4 balance $270,000,000
Company5 balance $330,000,000
Company6 balance $100,000,000
Company7 balance $440,000,000
Company8 balance $350,000,000
Company9 balance $300,000,000
Company10 balance $370,000,000
Company11 balance $60,000,000
Company12 balance $480,000,000
Company13 balance $140,000,000
Company14 balance $290,000,000
Company15 balance $220,000,000
Company16 balance $450,000,000
Company17 balance $210,000,000
Company18 balance $420,000,000
Company19 balance $240,000,000
Company20 balance $220,000,000
Company21 balance $410,000,000
Company22 balance $320,000,000
Company23 balance $120,000,000
Company24 balance $100,000,000
Company25 balance $10,000,000
Company26 balance $370,000,000
Company27 balance $140,000,000
Company28 balance $360,000,000
Company29 balance $30,000,000
Company30 balance $490,000,000
Company31 balance $280,000,000
Company32 balance $360,000,000
Company33 balance $340,000,000
Company34 balance $140,000,000
Company35 balance $40,000,000
Company36 balance $500,000,000
Company37 balance $500,000,000
Company38 balance $400,000,000
Company39 balance $270,000,000
Company40 balance $110,000,000
Company41 balance $90,000,000
Company42 balance $60,000,000
Company43 balance $490,000,000
Company44 balance $480,000,000
Company45 balance $40,000,000
Company46 balance $250,000,000
Company47 balance $320,000,000
Company48 balance $250,000,000
Company49 balance $280,000,000
Company50 balance $130,000,000


Time 1: Employee 1 Company3; check balance
Time 110: Employee 155 Company9; deposit $4500
Time 112: Employee 156 Company5; deposit $3400
Time 112: Employee 157 Company6; withdrawal $5000
Time 114: Employee 158 Company6; withdrawal $4000
Time 114: Employee 159 Company6; deposit $1400
Time 116: Employee 160 Company7; withdrawal $3700
Time 117: Employee 161 Company6; check balance
Time 118: Employee 162 Company9; check balance
Time 120: Employee 163 Company9; deposit $3800
Time 120: Employee 164 Company3; check balance
Time 122: Employee 165 Company2; withdrawal $4900
Time 122: Employee 166 Company9; deposit $1000
Time 122: Employee 167 Company1; check balance
Time 122: Employee 168 Company3; deposit $3000
Time 123: Employee 169 Company9; deposit $600
Time 123: Employee 170 Company2; deposit $2200
Time 123: Employee 171 Company9; check balance
Time 124: Employee 172 Company7; check balance
Time 124: Employee 173 Company4; deposit $1800
Time 125: Employee 174 Company6; deposit $3100
Time 127: Employee 175 Company7; withdrawal $3300
Time 127: Employee 176 Company4; check balance
Time 129: Employee 177 Company4; withdrawal $300
Time 129: Employee 178 Company2; check balance
Time 130: Employee 179 Company3; withdrawal $3500
Time 130: Employee 180 Company1; check balance
Time 132: Employee 181 Company1; withdrawal $1200
Time 132: Employee 182 Company6; deposit $4100
Time 132: Employee 183 Company9; withdrawal $200
Time 133: Employee 184 Company6; check balance
Time 135: Employee 185 Company1; deposit $3200
Time 137: Employee 186 Company9; check balance
Time 139: Employee 187 Company7; check balance
Time 140: Employee 188 Company6; withdrawal $1900
Time 140: Employee 189 Company3; check balance
Time 141: Employee 190 Company2; withdrawal $500
Time 143: Employee 191 Company6; check balance
Time 143: Employee 192 Company6; withdrawal $1400
Time 145: Employee 193 Company2; deposit $3500
Time 146: Employee 194 Company4; check balance
Time 147: Employee 195 Company4; check balance
Time 148: Employee 196 Company6; check balance
Time 148: Employee 197 Company8; withdrawal $4200
Time 150: Employee 198 Company10; withdrawal $4500
Time 150: Employee 199 Company4; deposit $1500
Time 150: Employee 200 Company3; deposit $4500
Time 151: Employee 201 Company1; withdrawal $3000
Time 151: Employee 202 Company7; check balance
Time 151: Employee 203 Company8; deposit $5000
Time 152: Employee 204 Company2; deposit $4700
Time 152: Employee 205 Company10; check balance
Time 152: Employee 206 Company6; check balance
Time 152: Employee 207 Company6; check balance
Time 152: Employee 208 Company3; deposit $4500
Time 152: Employee 209 Company8; withdrawal $4400
Time 152: Employee 210 Company7; deposit $3000
Time 154: Employee 211 Company4; check balance
Time 155: Employee 212 Company8; withdrawal $1500
Time 157: Employee 213 Company5; withdrawal $4100
Time 158: Employee 214 Company8; withdrawal $1000
Time 160: Employee 215 Company2; deposit $4200
Time 161: Employee 216 Company4; deposit $300
Time 162: Employee 217 Company1; deposit $3600
Time 162: Employee 218 Company7; check balance
Time 162: Employee 219 Company4; deposit $3300
Time 162: Employee 220 Company6; withdrawal $700
Time 163: Employee 221 Company6; deposit $1700
Time 163: Employee 222 Company5; check balance
Time 163: Employee 223 Company1; withdrawal $4300
Time 164: Employee 224 Company8; withdrawal $1300
Time 164: Employee 225 Company6; withdrawal $3300
Time 166: Employee 226 Company2; check balance
Time 167: Employee 227 Company6; deposit $1800
Time 169: Employee 228 Company9; deposit $3400
Time 169: Employee 229 Company5; withdrawal $4200
Time 171: Employee 230 Company3; withdrawal $1500
Time 172: Employee 231 Company10; deposit $2600
Time 174: Employee 232 Company8; deposit $2200
Time 174: Employee 233 Company3; withdrawal $3700
Time 174: Employee 234 Company9; check balance
Time 174: Employee 235 Company7; withdrawal $900
Time 174: Employee 236 Company10; deposit $4000
Time 174: Employee 237 Company5; check balance
Time 176: Employee 238 Company7; withdrawal $4900
Time 176: Employee 239 Company3; check balance
Time 178: Employee 240 Company5; deposit $4900
Time 179: Employee 241 Company6; deposit $800
Time 179: Employee 242 Company9; check balance
Time 180: Employee 243 Company7; deposit $400
Time 180: Employee 244 Company3; withdrawal $3300
Time 180: Employee 245 Company7; deposit $3400
Time 182: Employee 246 Company9; deposit $3100
Time 182: Employee 247 Company9; withdrawal $1900
Time 182: Employee 248 Company10; withdrawal $1000
Time 183: Employee 249 Company8; check balance
Time 183: Employee 250 Company2; withdrawal $900
Time 183: Employee 251 Company2; deposit $4700
Time 183: Employee 252 Company8; deposit $2900
Time 183: Employee 253 Company9; withdrawal $1100
Time 184: Employee 254 Company7; deposit $3900
Time 185: Employee 255 Company7; check balance
Time 185: Employee 256 Company9; deposit $1100
Time 185: Employee 257 Company4; check balance
Time 187: Employee 258 Company8; withdrawal $3100
Time 187: Employee 259 Company2; check balance
Time 188: Employee 260 Company6; check balance
Time 188: Employee 261 Company6; check balance
Time 189: Employee 262 Company8; check balance
Time 190: Employee 263 Company1; check balance
Time 192: Employee 264 Company9; deposit $5000
Time 193: Employee 265 Company4; check balance
Time 193: Employee 266 Company10; withdrawal $4300
Time 195: Employee 267 Company8; withdrawal $3100
Time 195: Employee 268 Company4; withdrawal $1300
Time 195: Employee 269 Company4; deposit $300
Time 197: Employee 270 Company9; check balance
Time 199: Employee 271 Company4; deposit $1800
Time 201: Employee 272 Company1; deposit $1100
Time 202: Employee 273 Company7; check balance
Time 202: Employee 274 Company1; deposit $2900
Time 202: Employee 275 Company4; check balance
Time 202: Employee 276 Company10; check balance
Time 202: Employee 277 Company9; deposit $900
Time 204: Employee 278 Company8; check balance
Time 204: Employee 279 Company6; check balance
Time 206: Employee 280 Company9; withdrawal $4700
Time 206: Employee 281 Company2; withdrawal $3600
Time 208: Employee 282 Company8; withdrawal $1200
Time 208: Employee 283 Company10; deposit $2100
Time 209: Employee 284 Company2; withdrawal $4200
Time 210: Employee 285 Company7; deposit $4600
Time 212: Employee 286 Company3; deposit $3700
Time 212: Employee 287 Company1; check balance
Time 212: Employee 288 Company5; check balance
Time 212: Employee 289 Company6; withdrawal $4400
Time 214: Employee 290 Company1; check balance
Time 216: Employee 291 Company9; deposit $2500
Time 217: Employee 292 Company9; withdrawal $1500
Time 217: Employee 293 Company10; check balance
Time 218: Employee 294 Company5; check balance
Time 220: Employee 295 Company7; check balance
Time 221: Employee 296 Company4; withdrawal $4200
Time 223: Employee 297 Company1; check balance
Time 223: Employee 298 Company2; check balance
Time 225: Employee 299 Company8; deposit $1500
Time 225: Employee 300 Company10; check balance
Time 227: Employee 301 Company4; deposit $1400
Time 228: Employee 302 Company3; deposit $4900
Time 228: Employee 303 Company2; withdrawal $3100
Time 230: Employee 304 Company5; withdrawal $4500
Time 231: Employee 305 Company4; check balance
Time 231: Employee 306 Company7; withdrawal $800
Time 231: Employee 307 Company9; check balance
Time 232: Employee 308 Company8; check balance
Time 234: Employee 309 Company3; deposit $1600
Time 236: Employee 310 Company10; check balance
Time 236: Employee 311 Company8; check balance
Time 236: Employee 312 Company4; deposit $2700
Time 237: Employee 313 Company5; withdrawal $2700
Time 237: Employee 314 Company4; withdrawal $3900
Time 238: Employee 315 Company10; check balance
Time 240: Employee 316 Company6; withdrawal $4000
Time 241: Employee 317 Company9; withdrawal $100
Time 241: Employee 318 Company6; check balance
Time 241: Employee 319 Company2; withdrawal $2500
Time 241: Employee 320 Company5; check balance
Time 241: Employee 321 Company4; deposit $4600
Time 241: Employee 322 Company8; deposit $4400
Time 241: Employee 323 Company8; deposit $1300
Time 241: Employee 324 Company1; withdrawal $4400
Time 243: Employee 325 Company5; withdrawal $100
Time 243: Employee 326 Company7; withdrawal $3700
Time 243: Employee 327 Company1; deposit $1400
Time 243: Employee 328 Company10; deposit $4200
Time 243: Employee 329 Company4; check balance
Time 245: Employee 330 Company9; withdrawal $4000
Time 246: Employee 331 Company6; check balance
Time 246: Employee 332 Company8; deposit $2400
Time 248: Employee 333 Company10; withdrawal $4400
Time 249: Employee 334 Company2; check balance
Time 250: Employee 335 Company1; deposit $600
Time 251: Employee 336 Company10; withdrawal $3300
Time 251: Employee 337 Company4; deposit $3900
Time 251: Employee 338 Company10; check balance
Time 251: Employee 339 Company10; deposit $4800
Time 252: Employee 340 Company4; check balance
Time 254: Employee 341 Company7; withdrawal $1300
Time 255: Employee 342 Company8; withdrawal $2100
Time 257: Employee 343 Company5; deposit $3200
Time 259: Employee 344 Company5; withdrawal $4900
Time 259: Employee 345 Company4; deposit $3600
Time 261: Employee 346 Company5; withdrawal $2700
Time 261: Employee 347 Company4; deposit $1600
Time 261: Employee 348 Company2; withdrawal $2900
Time 262: Employee 349 Company7; deposit $3400
Time 264: Employee 350 Company10; deposit $1500
Time 266: Employee 351 Company1; deposit $2000
Time 266: Employee 352 Company5; deposit $600
Time 267: Employee 353 Company8; check balance
Time 269: Employee 354 Company7; deposit $1000
Time 269: Employee 355 Company4; withdrawal $2900
Time 269: Employee 356 Company5; check balance
Time 269: Employee 357 Company9; check balance
Time 269: Employee 358 Company10; withdrawal $600
Time 270: Employee 359 Company7; deposit $1400
Time 270: Employee 360 Company1; deposit $2700
Time 272: Employee 361 Company10; withdrawal $1100
Time 272: Employee 362 Company7; withdrawal $1600
Time 274: Employee 363 Company1; withdrawal $1500
Time 274: Employee 364 Company3; deposit $4100
Time 275: Employee 365 Company7; deposit $500
Time 275: Employee 366 Company9; deposit $4500
Time 275: Employee 367 Company5; deposit $2000
Time 275: Employee 368 Company6; deposit $4300
Time 275: Employee 369 Company6; withdrawal $4500
Time 276: Employee 370 Company1; check balance
Time 277: Employee 371 Company6; withdrawal $4000
Time 278: Employee 372 Company1; deposit $3300
Time 278: Employee 373 Company10; withdrawal $500
Time 278: Employee 374 Company5; withdrawal $100
Time 279: Employee 375 Company9; withdrawal $1500
Time 281: Employee 376 Company7; deposit $3900
Time 281: Employee 377 Company6; check balance
Time 282: Employee 378 Company4; withdrawal $900
Time 282: Employee 379 Company6; deposit $1800
Time 283: Employee 380 Company8; deposit $500
Time 284: Employee 381 Company4; check balance
Time 286: Employee 382 Company5; deposit $600
Time 287: Employee 383 Company6; deposit $1800
Time 287: Employee 384 Company7; check balance
Time 287: Employee 385 Company1; withdrawal $4200
Time 287: Employee 386 Company4; withdrawal $1300
Time 287: Employee 387 Company1; withdrawal $2200
Time 288: Employee 388 Company2; withdrawal $400
Time 288: Employee 389 Company3; check balance
Time 288: Employee 390 Company5; withdrawal $1700
Time 288: Employee 391 Company10; check balance
Time 288: Employee 392 Company8; withdrawal $2300
Time 288: Employee 393 Company1; withdrawal $4300
Time 288: Employee 394 Company10; check balance
Time 290: Employee 395 Company2; deposit $4500
Time 291: Employee 396 Company10; check balance
Time 291: Employee 397 Company6; check balance
Time 291: Employee 398 Company5; check balance
Time 291: Employee 399 Company4; withdrawal $400
Time 291: Employee 400 Company2; withdrawal $900
Time 291: Employee 401 Company1; check balance
Time 291: Employee 402 Company5; withdrawal $500
Time 291: Employee 403 Company5; check balance
Time 291: Employee 404 Company3; deposit $3300
Time 292: Employee 405 Company4; check balance
Time 292: Employee 406 Company2; check balance
Time 293: Employee 407 Company7; check balance
Time 293: Employee 408 Company10; check balance
Time 295: Employee 409 Company3; withdrawal $1200
Time 295: Employee 410 Company9; deposit $600
Time 296: Employee 411 Company7; check balance
Time 296: Employee 412 Company7; check balance
Time 296: Employee 413 Company1; withdrawal $200
Time 296: Employee 414 Company3; deposit $600
Time 296: Employee 415 Company4; check balance
Time 298: Employee 416 Company4; withdrawal $3000
Time 299: Employee 417 Company9; deposit $3800
Time 299: Employee 418 Company4; check balance
Time 301: Employee 419 Company8; deposit $1800
Time 302: Employee 420 Company4; deposit $4600
Time 302: Employee 421 Company4; deposit $3500
Time 302: Employee 422 Company1; withdrawal $4300
Time 302: Employee 423 Company10; withdrawal $2000
Time 304: Employee 424 Company5; check balance
Time 304: Employee 425 Company3; deposit $4600
Time 304: Employee 426 Company3; check balance
Time 304: Employee 427 Company9; deposit $4500
Time 304: Employee 428 Company10; check balance
Time 304: Employee 429 Company2; withdrawal $2400
Time 306: Employee 430 Company2; check balance
Time 308: Employee 431 Company5; withdrawal $4700
Time 308: Employee 432 Company3; withdrawal $2400
Time 308: Employee 433 Company7; check balance
Time 310: Employee 434 Company4; withdrawal $4500
Time 311: Employee 435 Company7; deposit $5000
Time 311: Employee 436 Company10; check balance
Time 311: Employee 437 Company9; deposit $1800
Time 311: Employee 438 Company9; withdrawal $600
Time 311: Employee 439 Company6; deposit $3000
Time 312: Employee 440 Company2; check balance
Time 314: Employee 441 Company2; withdrawal $2800
Time 314: Employee 442 Company4; check balance
Time 314: Employee 443 Company9; check balance
Time 314: Employee 444 Company10; check balance
Time 316: Employee 445 Company6; check balance
Time 317: Employee 446 Company2; withdrawal $1400
Time 319: Employee 447 Company5; check balance
Time 320: Employee 448 Company5; withdrawal $4800
Time 322: Employee 449 Company4; deposit $4200
Time 323: Employee 450 Company1; check balance
Time 324: Employee 451 Company6; withdrawal $4100
Time 325: Employee 452 Company8; deposit $3300
Time 326: Employee 453 Company4; withdrawal $700
Time 326: Employee 454 Company10; check balance
Time 326: Employee 455 Company4; check balance
Time 328: Employee 456 Company7; check balance
Time 329: Employee 457 Company10; deposit $1000
Time 329: Employee 458 Company2; deposit $1200
Time 329: Employee 459 Company7; withdrawal $2300
Time 329: Employee 460 Company6; deposit $2400
Time 330: Employee 461 Company4; deposit $3400
Time 332: Employee 462 Company5; withdrawal $4500
Time 332: Employee 463 Company9; check balance
Time 332: Employee 464 Company6; deposit $4800
Time 332: Employee 465 Company6; withdrawal $600
Time 333: Employee 466 Company9; deposit $3900
Time 334: Employee 467 Company8; check balance
Time 334: Employee 468 Company3; check balance
Time 335: Employee 469 Company7; deposit $2000
Time 335: Employee 470 Company4; withdrawal $4600
Time 335: Employee 471 Company8; withdrawal $2000
Time 337: Employee 472 Company9; deposit $1500
Time 337: Employee 473 Company10; deposit $400
Time 338: Employee 474 Company4; check balance
Time 338: Employee 475 Company7; deposit $2900
Time 340: Employee 476 Company1; deposit $4300
Time 340: Employee 477 Company5; check balance
Time 340: Employee 478 Company1; withdrawal $1600
Time 340: Employee 479 Company9; deposit $100
Time 340: Employee 480 Company3; check balance
Time 340: Employee 481 Company5; withdrawal $100
Time 341: Employee 482 Company10; check balance
Time 341: Employee 483 Company7; check balance
Time 342: Employee 484 Company4; check balance
Time 342: Employee 485 Company9; deposit $2000
Time 342: Employee 486 Company10; check balance
Time 344: Employee 487 Company5; deposit $4400
Time 344: Employee 488 Company6; deposit $3300
Time 344: Employee 489 Company4; deposit $1700
Time 344: Employee 490 Company4; deposit $3200
Time 345: Employee 491 Company9; check balance
Time 347: Employee 492 Company3; withdrawal $1000
Time 348: Employee 493 Company3; deposit $2500
Time 348: Employee 494 Company5; deposit $4200
Time 349: Employee 495 Company4; deposit $4500
Time 349: Employee 496 Company5; withdrawal $2700
Time 349: Employee 497 Company3; deposit $2500
Time 349: Employee 498 Company6; deposit $1100
Time 350: Employee 499 Company6; check balance
Time 350: Employee 500 Company4; withdrawal $700
Time 350: Employee 501 Company9; deposit $2000
Time 351: Employee 502 Company8; withdrawal $4100
Time 351: Employee 503 Company4; check balance
Time 351: Employee 504 Company10; deposit $200
Time 351: Employee 505 Company10; deposit $4800
Time 351: Employee 506 Company10; check balance
Time 353: Employee 507 Company6; deposit $4600
Time 353: Employee 508 Company7; deposit $2700
Time 353: Employee 509 Company7; withdrawal $300
Time 355: Employee 510 Company7; deposit $800
Time 355: Employee 511 Company2; withdrawal $4800
Time 355: Employee 512 Company1; withdrawal $3300
Time 355: Employee 513 Company2; deposit $2800
Time 356: Employee 514 Company6; withdrawal $3100
Time 356: Employee 515 Company6; withdrawal $4600
Time 356: Employee 516 Company6; check balance
Time 356: Employee 517 Company7; withdrawal $1100
Time 357: Employee 518 Company9; deposit $4300
Time 357: Employee 519 Company3; deposit $500
Time 357: Employee 520 Company7; withdrawal $3600
Time 357: Employee 521 Company6; deposit $2400
Time 357: Employee 522 Company3; withdrawal $2600
Time 358: Employee 523 Company1; withdrawal $2700
Time 360: Employee 524 Company4; withdrawal $3100
Time 361: Employee 525 Company1; withdrawal $4700
Time 361: Employee 526 Company9; deposit $3500
Time 361: Employee 527 Company8; withdrawal $1800
Time 363: Employee 528 Company6; withdrawal $3800
Time 363: Employee 529 Company10; withdrawal $600
Time 363: Employee 530 Company1; withdrawal $1700
Time 363: Employee 531 Company8; check balance
Time 363: Employee 532 Company10; withdrawal $2200
Time 364: Employee 533 Company5; deposit $3200
Time 364: Employee 534 Company5; deposit $3000
Time 364: Employee 535 Company9; deposit $4600
Time 365: Employee 536 Company6; withdrawal $2300
Time 365: Employee 537 Company4; check balance
Time 366: Employee 538 Company4; check balance
Time 368: Employee 539 Company10; withdrawal $4000
Time 368: Employee 540 Company1; deposit $4800
Time 370: Employee 541 Company8; withdrawal $5000
Time 370: Employee 542 Company5; withdrawal $3400
Time 371: Employee 543 Company7; deposit $3700
Time 371: Employee 544 Company5; check balance
Time 371: Employee 545 Company4; deposit $1600
Time 372: Employee 546 Company6; check balance
Time 372: Employee 547 Company8; check balance
Time 372: Employee 548 Company1; withdrawal $3300
Time 372: Employee 549 Company6; check balance
Time 372: Employee 550 Company6; check balance
Time 372: Employee 551 Company7; deposit $800
Time 372: Employee 552 Company2; check balance
Time 374: Employee 553 Company3; withdrawal $4700
Time 375: Employee 554 Company6; check balance
Time 375: Employee 555 Company6; deposit $2300
Time 376: Employee 556 Company7; check balance
Time 377: Employee 557 Company1; check balance
Time 377: Employee 558 Company5; deposit $2900
Time 377: Employee 559 Company10; check balance
Time 378: Employee 560 Company9; check balance
Time 380: Employee 561 Company5; check balance
Time 382: Employee 562 Company8; deposit $4800
Time 382: Employee 563 Company4; deposit $3400
Time 382: Employee 564 Company2; deposit $3100
Time 382: Employee 565 Company7; check balance
Time 382: Employee 566 Company6; withdrawal $2800
Time 383: Employee 567 Company4; withdrawal $500
Time 384: Employee 568 Company2; deposit $4500
Time 385: Employee 569 Company6; check balance
Time 385: Employee 570 Company1; withdrawal $3800
Time 385: Employee 571 Company5; check balance
Time 385: Employee 572 Company4; withdrawal $4500
Time 385: Employee 573 Company5; withdrawal $3800
Time 386: Employee 574 Company8; withdrawal $4100
Time 386: Employee 575 Company6; check balance
Time 387: Employee 576 Company5; withdrawal $2600
Time 387: Employee 577 Company7; withdrawal $2700
Time 387: Employee 578 Company1; deposit $4200
Time 388: Employee 579 Company4; deposit $1700
Time 388: Employee 580 Company1; withdrawal $4000
Time 388: Employee 581 Company7; withdrawal $600
Time 388: Employee 582 Company8; withdrawal $4100
Time 390: Employee 583 Company5; withdrawal $1300
Time 390: Employee 584 Company7; deposit $2100
Time 391: Employee 585 Company5; check balance
